/var/spool/slurmd/job54800/slurm_script: línea 11: /fhome/pmlai01/miniconda3/etc/profile.d/cuonda.sh: No existe el archivo o el directorio

CondaError: Run 'conda init' before 'conda activate'

2024-12-12 10:04:40.719540: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2024-12-12 10:04:40.781920: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-12 10:04:41.849325: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
cuda
Using cuda device
Wrapping the env in a VecTransposeImage.
---------------------------------
| rollout/           |          |
|    total_timesteps      | 2285568     |
| train/                  |             |
|    approx_kl            | 0.017137045 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.634      |
|    explained_variance   | 0.415       |
|    learning_rate        | 2.72e-05    |
|    loss                 | 0.164       |
|    n_updates            | 2780        |
|    policy_gradient_loss | -0.0155     |
|    value_loss           | 1.36        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.13e+03    |
|    ep_rew_mean          | 2.33e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 280         |
|    time_elapsed         | 11630       |
|    total_timesteps      | 2293760     |
| train/                  |             |
|    approx_kl            | 0.015824938 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.65       |
|    explained_variance   | 0.429       |
|    learning_rate        | 2.71e-05    |
|    loss                 | 0.344       |
|    n_updates            | 2790        |
|    policy_gradient_loss | -0.0152     |
|    value_loss           | 1.67        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.19e+03    |
|    ep_rew_mean          | 2.37e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 281         |
|    time_elapsed         | 11670       |
|    total_timesteps      | 2301952     |
| train/                  |             |
|    approx_kl            | 0.018141992 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.638      |
|    explained_variance   | 0.462       |
|    learning_rate        | 2.71e-05    |
|    loss                 | 0.312       |
|    n_updates            | 2800        |
|    policy_gradient_loss | -0.0137     |
|    value_loss           | 1.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.12e+03    |
|    ep_rew_mean          | 2.32e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 282         |
|    time_elapsed         | 11710       |
|    total_timesteps      | 2310144     |
| train/                  |             |
|    approx_kl            | 0.016640063 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.617      |
|    explained_variance   | 0.482       |
|    learning_rate        | 2.7e-05     |
|    loss                 | 0.246       |
|    n_updates            | 2810        |
|    policy_gradient_loss | -0.0125     |
|    value_loss           | 1.25        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.17e+03   |
|    ep_rew_mean          | 2.36e+03   |
| time/                   |            |
|    fps                  | 197        |
|    iterations           | 283        |
|    time_elapsed         | 11750      |
|    total_timesteps      | 2318336    |
| train/                  |            |
|    approx_kl            | 0.01611662 |
|    clip_fraction        | 0.148      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.644     |
|    explained_variance   | 0.466      |
|    learning_rate        | 2.69e-05   |
|    loss                 | 0.389      |
|    n_updates            | 2820       |
|    policy_gradient_loss | -0.0139    |
|    value_loss           | 1.35       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.13e+03    |
|    ep_rew_mean          | 2.33e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 284         |
|    time_elapsed         | 11791       |
|    total_timesteps      | 2326528     |
| train/                  |             |
|    approx_kl            | 0.017268345 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.652      |
|    explained_variance   | 0.536       |
|    learning_rate        | 2.68e-05    |
|    loss                 | 0.52        |
|    n_updates            | 2830        |
|    policy_gradient_loss | -0.0163     |
|    value_loss           | 1.2         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.1e+03     |
|    ep_rew_mean          | 2.29e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 285         |
|    time_elapsed         | 11831       |
|    total_timesteps      | 2334720     |
| train/                  |             |
|    approx_kl            | 0.014979044 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.616      |
|    explained_variance   | 0.562       |
|    learning_rate        | 2.67e-05    |
|    loss                 | 0.482       |
|    n_updates            | 2840        |
|    policy_gradient_loss | -0.0135     |
|    value_loss           | 1.33        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.09e+03    |
|    ep_rew_mean          | 2.29e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 286         |
|    time_elapsed         | 11871       |
|    total_timesteps      | 2342912     |
| train/                  |             |
|    approx_kl            | 0.017535819 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.642      |
|    explained_variance   | 0.467       |
|    learning_rate        | 2.67e-05    |
|    loss                 | 0.551       |
|    n_updates            | 2850        |
|    policy_gradient_loss | -0.0161     |
|    value_loss           | 1.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.06e+03    |
|    ep_rew_mean          | 2.27e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 287         |
|    time_elapsed         | 11911       |
|    total_timesteps      | 2351104     |
| train/                  |             |
|    approx_kl            | 0.015583299 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.639      |
|    explained_variance   | 0.416       |
|    learning_rate        | 2.66e-05    |
|    loss                 | 0.928       |
|    n_updates            | 2860        |
|    policy_gradient_loss | -0.0118     |
|    value_loss           | 1.49        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.17e+03    |
|    ep_rew_mean          | 2.34e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 288         |
|    time_elapsed         | 11951       |
|    total_timesteps      | 2359296     |
| train/                  |             |
|    approx_kl            | 0.016320229 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.612      |
|    explained_variance   | 0.485       |
|    learning_rate        | 2.65e-05    |
|    loss                 | 0.357       |
|    n_updates            | 2870        |
|    policy_gradient_loss | -0.0147     |
|    value_loss           | 1.34        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.27e+03    |
|    ep_rew_mean          | 2.41e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 289         |
|    time_elapsed         | 11992       |
|    total_timesteps      | 2367488     |
| train/                  |             |
|    approx_kl            | 0.017216962 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.597      |
|    explained_variance   | 0.501       |
|    learning_rate        | 2.64e-05    |
|    loss                 | 0.652       |
|    n_updates            | 2880        |
|    policy_gradient_loss | -0.0159     |
|    value_loss           | 1.25        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.26e+03    |
|    ep_rew_mean          | 2.41e+03    |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 290         |
|    time_elapsed         | 12032       |
|    total_timesteps      | 2375680     |
| train/                  |             |
|    approx_kl            | 0.014001869 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.6        |
|    explained_variance   | 0.483       |
|    learning_rate        | 2.63e-05    |
|    loss                 | 0.352       |
|    n_updates            | 2890        |
|    policy_gradient_loss | -0.0138     |
|    value_loss           | 1.31        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.23e+03    |
|    ep_rew_mean          | 2.4e+03     |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 291         |
|    time_elapsed         | 12093       |
|    total_timesteps      | 2383872     |
| train/                  |             |
|    approx_kl            | 0.018481256 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.585      |
|    explained_variance   | 0.476       |
|    learning_rate        | 2.62e-05    |
|    loss                 | 0.78        |
|    n_updates            | 2900        |
|    policy_gradient_loss | -0.0148     |
|    value_loss           | 1.34        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.3e+03     |
|    ep_rew_mean          | 2.43e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 292         |
|    time_elapsed         | 12166       |
|    total_timesteps      | 2392064     |
| train/                  |             |
|    approx_kl            | 0.016243625 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.584      |
|    explained_variance   | 0.459       |
|    learning_rate        | 2.62e-05    |
|    loss                 | 0.616       |
|    n_updates            | 2910        |
|    policy_gradient_loss | -0.0116     |
|    value_loss           | 1.67        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.29e+03    |
|    ep_rew_mean          | 2.44e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 293         |
|    time_elapsed         | 12219       |
|    total_timesteps      | 2400256     |
| train/                  |             |
|    approx_kl            | 0.016146924 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.584      |
|    explained_variance   | 0.57        |
|    learning_rate        | 2.61e-05    |
|    loss                 | 0.328       |
|    n_updates            | 2920        |
|    policy_gradient_loss | -0.0146     |
|    value_loss           | 0.994       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.2e+03     |
|    ep_rew_mean          | 2.39e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 294         |
|    time_elapsed         | 12270       |
|    total_timesteps      | 2408448     |
| train/                  |             |
|    approx_kl            | 0.017887339 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.628      |
|    explained_variance   | 0.509       |
|    learning_rate        | 2.6e-05     |
|    loss                 | 0.335       |
|    n_updates            | 2930        |
|    policy_gradient_loss | -0.0147     |
|    value_loss           | 1.56        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.18e+03    |
|    ep_rew_mean          | 2.38e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 295         |
|    time_elapsed         | 12318       |
|    total_timesteps      | 2416640     |
| train/                  |             |
|    approx_kl            | 0.017819803 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.611      |
|    explained_variance   | 0.544       |
|    learning_rate        | 2.59e-05    |
|    loss                 | 0.28        |
|    n_updates            | 2940        |
|    policy_gradient_loss | -0.0154     |
|    value_loss           | 1.31        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.19e+03   |
|    ep_rew_mean          | 2.38e+03   |
| time/                   |            |
|    fps                  | 196        |
|    iterations           | 296        |
|    time_elapsed         | 12363      |
|    total_timesteps      | 2424832    |
| train/                  |            |
|    approx_kl            | 0.01604557 |
|    clip_fraction        | 0.134      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.59      |
|    explained_variance   | 0.566      |
|    learning_rate        | 2.58e-05   |
|    loss                 | 1.1        |
|    n_updates            | 2950       |
|    policy_gradient_loss | -0.0135    |
|    value_loss           | 1.58       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.18e+03   |
|    ep_rew_mean          | 2.38e+03   |
| time/                   |            |
|    fps                  | 196        |
|    iterations           | 297        |
|    time_elapsed         | 12408      |
|    total_timesteps      | 2433024    |
| train/                  |            |
|    approx_kl            | 0.01591174 |
|    clip_fraction        | 0.138      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.587     |
|    explained_variance   | 0.483      |
|    learning_rate        | 2.58e-05   |
|    loss                 | 0.295      |
|    n_updates            | 2960       |
|    policy_gradient_loss | -0.0131    |
|    value_loss           | 1.45       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.23e+03    |
|    ep_rew_mean          | 2.41e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 298         |
|    time_elapsed         | 12459       |
|    total_timesteps      | 2441216     |
| train/                  |             |
|    approx_kl            | 0.019389626 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.56       |
|    explained_variance   | 0.552       |
|    learning_rate        | 2.57e-05    |
|    loss                 | 0.253       |
|    n_updates            | 2970        |
|    policy_gradient_loss | -0.0129     |
|    value_loss           | 1.44        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.17e+03   |
|    ep_rew_mean          | 2.38e+03   |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 299        |
|    time_elapsed         | 12509      |
|    total_timesteps      | 2449408    |
| train/                  |            |
|    approx_kl            | 0.01746856 |
|    clip_fraction        | 0.155      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.578     |
|    explained_variance   | 0.481      |
|    learning_rate        | 2.56e-05   |
|    loss                 | 0.834      |
|    n_updates            | 2980       |
|    policy_gradient_loss | -0.0113    |
|    value_loss           | 1.7        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.03e+03    |
|    ep_rew_mean          | 2.3e+03     |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 300         |
|    time_elapsed         | 12552       |
|    total_timesteps      | 2457600     |
| train/                  |             |
|    approx_kl            | 0.017620143 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.567      |
|    explained_variance   | 0.566       |
|    learning_rate        | 2.55e-05    |
|    loss                 | 0.245       |
|    n_updates            | 2990        |
|    policy_gradient_loss | -0.0142     |
|    value_loss           | 1.37        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.01e+03   |
|    ep_rew_mean          | 2.29e+03   |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 301        |
|    time_elapsed         | 12601      |
|    total_timesteps      | 2465792    |
| train/                  |            |
|    approx_kl            | 0.01678291 |
|    clip_fraction        | 0.134      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.557     |
|    explained_variance   | 0.594      |
|    learning_rate        | 2.54e-05   |
|    loss                 | 0.363      |
|    n_updates            | 3000       |
|    policy_gradient_loss | -0.0124    |
|    value_loss           | 1.51       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.98e+03    |
|    ep_rew_mean          | 2.27e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 302         |
|    time_elapsed         | 12646       |
|    total_timesteps      | 2473984     |
| train/                  |             |
|    approx_kl            | 0.020044215 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.542      |
|    explained_variance   | 0.483       |
|    learning_rate        | 2.53e-05    |
|    loss                 | 1.51        |
|    n_updates            | 3010        |
|    policy_gradient_loss | -0.00983    |
|    value_loss           | 1.67        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.88e+03    |
|    ep_rew_mean          | 2.2e+03     |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 303         |
|    time_elapsed         | 12689       |
|    total_timesteps      | 2482176     |
| train/                  |             |
|    approx_kl            | 0.021257024 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.543      |
|    explained_variance   | 0.508       |
|    learning_rate        | 2.53e-05    |
|    loss                 | 0.351       |
|    n_updates            | 3020        |
|    policy_gradient_loss | -0.0129     |
|    value_loss           | 1.45        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.84e+03    |
|    ep_rew_mean          | 2.17e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 304         |
|    time_elapsed         | 12737       |
|    total_timesteps      | 2490368     |
| train/                  |             |
|    approx_kl            | 0.019211836 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.559      |
|    explained_variance   | 0.577       |
|    learning_rate        | 2.52e-05    |
|    loss                 | 0.372       |
|    n_updates            | 3030        |
|    policy_gradient_loss | -0.0112     |
|    value_loss           | 1.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.91e+03    |
|    ep_rew_mean          | 2.21e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 305         |
|    time_elapsed         | 12781       |
|    total_timesteps      | 2498560     |
| train/                  |             |
|    approx_kl            | 0.017136674 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.552      |
|    explained_variance   | 0.537       |
|    learning_rate        | 2.51e-05    |
|    loss                 | 0.6         |
|    n_updates            | 3040        |
|    policy_gradient_loss | -0.0121     |
|    value_loss           | 1.36        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.97e+03    |
|    ep_rew_mean          | 2.24e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 306         |
|    time_elapsed         | 12827       |
|    total_timesteps      | 2506752     |
| train/                  |             |
|    approx_kl            | 0.015987512 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.566      |
|    explained_variance   | 0.597       |
|    learning_rate        | 2.5e-05     |
|    loss                 | 0.642       |
|    n_updates            | 3050        |
|    policy_gradient_loss | -0.0119     |
|    value_loss           | 1.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.95e+03    |
|    ep_rew_mean          | 2.22e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 307         |
|    time_elapsed         | 12872       |
|    total_timesteps      | 2514944     |
| train/                  |             |
|    approx_kl            | 0.017088708 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.562      |
|    explained_variance   | 0.541       |
|    learning_rate        | 2.49e-05    |
|    loss                 | 0.46        |
|    n_updates            | 3060        |
|    policy_gradient_loss | -0.014      |
|    value_loss           | 1.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.91e+03    |
|    ep_rew_mean          | 2.21e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 308         |
|    time_elapsed         | 12918       |
|    total_timesteps      | 2523136     |
| train/                  |             |
|    approx_kl            | 0.015748542 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.585      |
|    explained_variance   | 0.526       |
|    learning_rate        | 2.49e-05    |
|    loss                 | 0.34        |
|    n_updates            | 3070        |
|    policy_gradient_loss | -0.0119     |
|    value_loss           | 1.45        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.93e+03    |
|    ep_rew_mean          | 2.21e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 309         |
|    time_elapsed         | 12960       |
|    total_timesteps      | 2531328     |
| train/                  |             |
|    approx_kl            | 0.014986914 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.555      |
|    explained_variance   | 0.587       |
|    learning_rate        | 2.48e-05    |
|    loss                 | 0.235       |
|    n_updates            | 3080        |
|    policy_gradient_loss | -0.0138     |
|    value_loss           | 1.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4e+03       |
|    ep_rew_mean          | 2.25e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 310         |
|    time_elapsed         | 13002       |
|    total_timesteps      | 2539520     |
| train/                  |             |
|    approx_kl            | 0.016457211 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.547      |
|    explained_variance   | 0.561       |
|    learning_rate        | 2.47e-05    |
|    loss                 | 0.675       |
|    n_updates            | 3090        |
|    policy_gradient_loss | -0.0124     |
|    value_loss           | 1.25        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.06e+03    |
|    ep_rew_mean          | 2.28e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 311         |
|    time_elapsed         | 13047       |
|    total_timesteps      | 2547712     |
| train/                  |             |
|    approx_kl            | 0.017849294 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.561      |
|    explained_variance   | 0.601       |
|    learning_rate        | 2.46e-05    |
|    loss                 | 0.593       |
|    n_updates            | 3100        |
|    policy_gradient_loss | -0.0128     |
|    value_loss           | 1.26        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.09e+03   |
|    ep_rew_mean          | 2.3e+03    |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 312        |
|    time_elapsed         | 13094      |
|    total_timesteps      | 2555904    |
| train/                  |            |
|    approx_kl            | 0.01781118 |
|    clip_fraction        | 0.145      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.586     |
|    explained_variance   | 0.626      |
|    learning_rate        | 2.45e-05   |
|    loss                 | 0.325      |
|    n_updates            | 3110       |
|    policy_gradient_loss | -0.0121    |
|    value_loss           | 1.13       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.22e+03   |
|    ep_rew_mean          | 2.36e+03   |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 313        |
|    time_elapsed         | 13141      |
|    total_timesteps      | 2564096    |
| train/                  |            |
|    approx_kl            | 0.01486215 |
|    clip_fraction        | 0.143      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.584     |
|    explained_variance   | 0.529      |
|    learning_rate        | 2.44e-05   |
|    loss                 | 0.59       |
|    n_updates            | 3120       |
|    policy_gradient_loss | -0.0132    |
|    value_loss           | 1.25       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.18e+03    |
|    ep_rew_mean          | 2.34e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 314         |
|    time_elapsed         | 13182       |
|    total_timesteps      | 2572288     |
| train/                  |             |
|    approx_kl            | 0.014403048 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.575      |
|    explained_variance   | 0.611       |
|    learning_rate        | 2.44e-05    |
|    loss                 | 0.274       |
|    n_updates            | 3130        |
|    policy_gradient_loss | -0.0135     |
|    value_loss           | 1.11        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.2e+03     |
|    ep_rew_mean          | 2.35e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 315         |
|    time_elapsed         | 13222       |
|    total_timesteps      | 2580480     |
| train/                  |             |
|    approx_kl            | 0.016612664 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.611      |
|    explained_variance   | 0.52        |
|    learning_rate        | 2.43e-05    |
|    loss                 | 0.974       |
|    n_updates            | 3140        |
|    policy_gradient_loss | -0.0129     |
|    value_loss           | 1.8         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.24e+03    |
|    ep_rew_mean          | 2.37e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 316         |
|    time_elapsed         | 13263       |
|    total_timesteps      | 2588672     |
| train/                  |             |
|    approx_kl            | 0.016822662 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.561      |
|    explained_variance   | 0.575       |
|    learning_rate        | 2.42e-05    |
|    loss                 | 0.238       |
|    n_updates            | 3150        |
|    policy_gradient_loss | -0.0121     |
|    value_loss           | 1.41        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.31e+03    |
|    ep_rew_mean          | 2.4e+03     |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 317         |
|    time_elapsed         | 13304       |
|    total_timesteps      | 2596864     |
| train/                  |             |
|    approx_kl            | 0.018047735 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.603      |
|    explained_variance   | 0.399       |
|    learning_rate        | 2.41e-05    |
|    loss                 | 1.31        |
|    n_updates            | 3160        |
|    policy_gradient_loss | -0.0107     |
|    value_loss           | 1.8         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.35e+03    |
|    ep_rew_mean          | 2.43e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 318         |
|    time_elapsed         | 13345       |
|    total_timesteps      | 2605056     |
| train/                  |             |
|    approx_kl            | 0.015851753 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.56       |
|    explained_variance   | 0.588       |
|    learning_rate        | 2.4e-05     |
|    loss                 | 0.497       |
|    n_updates            | 3170        |
|    policy_gradient_loss | -0.0149     |
|    value_loss           | 0.984       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.36e+03    |
|    ep_rew_mean          | 2.42e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 319         |
|    time_elapsed         | 13386       |
|    total_timesteps      | 2613248     |
| train/                  |             |
|    approx_kl            | 0.015732097 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.613      |
|    explained_variance   | 0.513       |
|    learning_rate        | 2.39e-05    |
|    loss                 | 0.234       |
|    n_updates            | 3180        |
|    policy_gradient_loss | -0.0127     |
|    value_loss           | 1.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.37e+03    |
|    ep_rew_mean          | 2.44e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 320         |
|    time_elapsed         | 13427       |
|    total_timesteps      | 2621440     |
| train/                  |             |
|    approx_kl            | 0.013995374 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.588      |
|    explained_variance   | 0.442       |
|    learning_rate        | 2.39e-05    |
|    loss                 | 0.633       |
|    n_updates            | 3190        |
|    policy_gradient_loss | -0.0126     |
|    value_loss           | 1.49        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.33e+03    |
|    ep_rew_mean          | 2.41e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 321         |
|    time_elapsed         | 13467       |
|    total_timesteps      | 2629632     |
| train/                  |             |
|    approx_kl            | 0.017795209 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.612      |
|    explained_variance   | 0.463       |
|    learning_rate        | 2.38e-05    |
|    loss                 | 0.345       |
|    n_updates            | 3200        |
|    policy_gradient_loss | -0.012      |
|    value_loss           | 1.45        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.28e+03    |
|    ep_rew_mean          | 2.37e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 322         |
|    time_elapsed         | 13508       |
|    total_timesteps      | 2637824     |
| train/                  |             |
|    approx_kl            | 0.016655616 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.596      |
|    explained_variance   | 0.468       |
|    learning_rate        | 2.37e-05    |
|    loss                 | 0.378       |
|    n_updates            | 3210        |
|    policy_gradient_loss | -0.0146     |
|    value_loss           | 1.33        |
-----------------------------------------
